"id","tconst","directors","writers"
966,"tt0001175","nm0130633,nm0580197,nm0693516","nm0241414,nm0693516"
2254,"tt0001240","nm0088881","nm0000636"
5753,"tt0004325","nm0806565,nm0916665","nm0000636,nm0916665"
4542,"tt0004613","nm0352726","nm0205343,nm0858501"
6276,"tt0004832","nm0551361","nm0232713"
306,"tt0004873","nm0950148","nm0140902,nm0950148,nm14997123"
5023,"tt0004972","nm0000428","nm0228746,nm0000428,nm0940488"
1760,"tt0005256","nm0041858","nm0041858,nm0534221"
1847,"tt0005308","nm0098376","nm0098376,nm0412257"
6244,"tt0006247","nm0454545","nm0725845"
1438,"tt0006581","nm0002061","nm0002061,nm0862242"
5844,"tt0007149","nm0725529","nm0150188,nm0397211"
3873,"tt0007190","nm0334918","nm0388795"
6624,"tt0007514","nm0002061","nm0030694"
509,"tt0007654","nm0502752","nm0585502"
1553,"tt0007873","nm0256221","nm0256221,nm0001196,nm0002616"
1721,"tt0007895","nm0725893","nm0455515"
142,"tt0008196","nm0624714","nm0122364,nm0547966"
6401,"tt0008686","nm0172293","nm0276145,nm0822627"
4247,"tt0008825","nm0407778,nm0458837","nm0263912,nm0296193,nm1802888"
2763,"tt0009243","nm0883920","nm0784461"
3044,"tt0009309","nm0461295","nm0017301,nm0561651"
3580,"tt0009429","nm0205653","nm0888539,nm0529313,nm0494673"
5845,"tt0009460","nm0662032","nm0058659,nm0292827"
3726,"tt0009470","nm0636076","nm0027367,nm0256639"
514,"tt0009891","nm0401967","nm0866243,nm0401967,nm0249772"
910,"tt0009968","nm0000428","nm0121885,nm0000428"
2275,"tt0010209","nm0006276","nm0528351,nm0809633"
2404,"tt0010261","nm0916665","nm0916665"
5086,"tt0010323","nm0927468","nm0562346,nm0417917"
5759,"tt0010460","nm0395023","nm0163937,nm0309567,nm0395023"
478,"tt0010622","nm0652650","nm0652650,nm0894523"
6538,"tt0010817","nm0235791","nm0175915,nm0775471"
6224,"tt0010851","nm0410271","nm0858501"
1827,"tt0011174","nm0781292","nm0019855,nm1141292,nm0781292,nm0816232"
5488,"tt0011309","nm0002061","nm0236279,nm0254674,nm1123587"
5735,"tt0011439","nm0629243","nm0191547,nm0001196,nm1491939"
6863,"tt0011886","nm0104197","nm0111577,nm0822627"
5144,"tt0012064","nm0006276","nm0046947,nm0621733"
2366,"tt0012277","nm0463335","nm0163369,nm0166777"
2705,"tt0012329","nm0050846","nm0050846,nm0111576"
5880,"tt0012364","nm0803705","nm0481248,nm0803705"
3034,"tt0012396","nm0856161","nm0369036,nm0369038,nm0573743,nm0590361"
5737,"tt0012450","nm0102783","nm0394968,nm0492208"
3352,"tt0012469","nm0574431","nm0120272,nm0822627"
599,"tt0012920","nm0334918","nm0075318,nm0756814"
1562,"tt0013086","nm0000485","nm0415167,nm0902376,nm0000485"
1958,"tt0013145","nm0886754","nm0167424,nm0843364"
2301,"tt0013257","nm0159725","nm0159725"
3496,"tt0013427","nm0280904","nm0280878,nm0280904"
4160,"tt0013555","nm0446054","nm0708956"
4483,"tt0013607","nm0721840","nm0721840"
6470,"tt0013713","nm0042317","nm0009266"
245,"tt0013817","nm0001124","nm0534221"
4252,"tt0014429","nm0628345,nm0853130","nm0730018,nm0853130,nm0924065,nm0907778,nm0369841,nm0516001"
6138,"tt0014532","nm0001124","nm0534221"
650,"tt0014705","nm0725944","nm0855139,nm0822627"
5617,"tt0015051","nm0090007","nm0497169,nm0841492"
5797,"tt0015168","nm0250053","nm0860442,nm0870571,nm0774605"
6035,"tt0015310","nm0515979","nm0754581,nm0370271,nm0031033"
6146,"tt0015400","nm0909825","nm0940689,nm0001196,nm0008280,nm0640884"
566,"tt0015593","nm0341486","nm0115115,nm0387551"
632,"tt0015648","nm0001178","nm0012810,nm0001178,nm0017893,nm0038595,nm0872308"
1220,"tt0015703","nm0189076","nm0192325,nm0445502"
5266,"tt0015772","nm0113284","nm0701090,nm0547938,nm0473134"
5386,"tt0015864","nm0000122","nm0000122"
2300,"tt0015897","nm0498174","nm0332539,nm1121405"
5751,"tt0016099","nm0744504","nm0077061,nm0201405,nm0653865"
3478,"tt0016137","nm0136888","nm0288986,nm0822552"
5882,"tt0016220","nm0432216,nm0151606,nm0480677,nm0781292","nm0503693,nm0031033,nm0165470,nm0566338,nm0566439,nm0715723,nm0775419,nm0908831,nm1541473"
3992,"tt0016256","nm0376396","nm15140063"
4355,"tt0016332","nm0000036","nm0576362,nm0115669,nm0369841,nm0593477"
4155,"tt0017326","nm0002118","nm0102818,nm0228693,nm0469166"
4442,"tt0017383","nm0006276","nm0132223,nm0241758,nm0881333"
4595,"tt0017423","nm0064415,nm0573743","nm0242802,nm0547938,nm0837989"
6644,"tt0017518","nm0397678","nm0264229,nm0566338"
1557,"tt0017825","nm0000033","nm0171887,nm0637040,nm0822627"
5364,"tt0017925","nm0115669,nm0000036","nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548"
2265,"tt0017961","nm0575963","nm0575963"
5708,"tt0018130","nm0397678","nm0021477,nm0322843"
