"id","directors"
966,"nm0130633"
966,"nm0580197"
966,"nm0693516"
2254,"nm0088881"
5753,"nm0806565"
5753,"nm0916665"
4542,"nm0352726"
6276,"nm0551361"
306,"nm0950148"
5023,"nm0000428"
1760,"nm0041858"
1847,"nm0098376"
6244,"nm0454545"
1438,"nm0002061"
5844,"nm0725529"
3873,"nm0334918"
6624,"nm0002061"
509,"nm0502752"
1553,"nm0256221"
1721,"nm0725893"
142,"nm0624714"
6401,"nm0172293"
4247,"nm0407778"
4247,"nm0458837"
2763,"nm0883920"
3044,"nm0461295"
3580,"nm0205653"
5845,"nm0662032"
3726,"nm0636076"
514,"nm0401967"
910,"nm0000428"
2275,"nm0006276"
2404,"nm0916665"
5086,"nm0927468"
5759,"nm0395023"
478,"nm0652650"
6538,"nm0235791"
6224,"nm0410271"
1827,"nm0781292"
5488,"nm0002061"
5735,"nm0629243"
6863,"nm0104197"
5144,"nm0006276"
2366,"nm0463335"
2705,"nm0050846"
5880,"nm0803705"
3034,"nm0856161"
5737,"nm0102783"
3352,"nm0574431"
599,"nm0334918"
1562,"nm0000485"
1958,"nm0886754"
2301,"nm0159725"
3496,"nm0280904"
4160,"nm0446054"
4483,"nm0721840"
6470,"nm0042317"
245,"nm0001124"
4252,"nm0628345"
4252,"nm0853130"
6138,"nm0001124"
650,"nm0725944"
5617,"nm0090007"
5797,"nm0250053"
6035,"nm0515979"
6146,"nm0909825"
566,"nm0341486"
632,"nm0001178"
1220,"nm0189076"
5266,"nm0113284"
5386,"nm0000122"
2300,"nm0498174"
5751,"nm0744504"
3478,"nm0136888"
5882,"nm0432216"
5882,"nm0151606"
5882,"nm0480677"
5882,"nm0781292"
3992,"nm0376396"
4355,"nm0000036"
4155,"nm0002118"
4442,"nm0006276"
4595,"nm0064415"
4595,"nm0573743"
6644,"nm0397678"
1557,"nm0000033"
5364,"nm0115669"
5364,"nm0000036"
2265,"nm0575963"
5708,"nm0397678"
4089,"nm0783461"
5986,"nm0000033"
6493,"nm0806061"
6816,"nm0920074"
6816,"nm0195496"
1420,"nm0086486"
5866,"nm0003433"
5868,"nm0523932"
5885,"nm0414985"
4486,"nm0383304"
920,"nm0671501"
1336,"nm0916125"
2039,"nm0917857"
5537,"nm0733208"
3534,"nm0499883"
4700,"nm0258015"
6359,"nm0903049"
6273,"nm0498174"
418,"nm0373511"
2394,"nm0341486"
2795,"nm0624756"
3678,"nm0878338"
6737,"nm0480677"
5350,"nm0587277"
2867,"nm0782682"
5710,"nm0215877"
3299,"nm0941562"
5937,"nm0920074"
4485,"nm0853130"
1430,NA
1982,"nm0115218"
2501,"nm0503777"
2961,"nm0909398"
5830,"nm0001843"
4843,"nm0886754"
6602,"nm0003433"
6780,"nm0356931"
696,"nm0416861"
886,"nm0293260"
1614,"nm0564970"
1770,"nm0205317"
3715,"nm0386785"
6920,"nm0897118"
4929,"nm0595451"
2904,"nm0897118"
2155,"nm0366781"
2555,"nm0821472"
2671,"nm0001008"
5722,"nm0000033"
3184,"nm0260871"
5856,"nm0092915"
2041,"nm0560395"
6149,"nm0886754"
6464,"nm0726166"
3439,"nm0515979"
156,"nm0939992"
156,"nm0332539"
186,"nm0006943"
757,"nm0394477"
1909,"nm0826873"
1909,"nm0853028"
5812,"nm0252388"
2377,"nm0245385"
5620,"nm0782707"
3344,"nm0000122"
3402,"nm0001008"
3464,"nm0478441"
3588,"nm0172151"
4245,"nm0000033"
4606,"nm0547446"
4804,"nm0828419"
6316,"nm0580017"
6173,"nm0627864"
3946,"nm0156160"
4934,"nm0155469"
4967,"nm0564970"
571,"nm0128715"
714,"nm0833965"
117,"nm0939992"
3311,"nm0386785"
3725,"nm0293260"
3725,"nm0397678"
6389,"nm0109264"
4923,"nm0002031"
4923,"nm0445033"
6907,"nm0072328"
6907,"nm0258506"
414,"nm0002031"
1785,"nm0385171"
2073,"nm0190516"
2153,"nm0258015"
5597,"nm0000033"
3200,"nm0886754"
3200,"nm0245213"
3913,"nm0138893"
6886,"nm0001008"
1442,"nm0550892"
2078,"nm0225555"
2162,"nm0281808"
