"id","genres"
1,"Crime"
1,"Drama"
1,"Thriller"
2,"Comedy"
2,"Family"
2,"Fantasy"
3,"Drama"
4,"Comedy"
4,"Drama"
5,"Comedy"
5,"Romance"
6,"Comedy"
6,"Drama"
6,"Romance"
7,"Crime"
7,"Drama"
7,"Thriller"
8,"Action"
8,"Adventure"
8,"Drama"
9,"Horror"
9,"Mystery"
9,"Thriller"
10,"Comedy"
10,"Romance"
11,"Adventure"
11,"Comedy"
11,"Crime"
12,"Adventure"
12,"Comedy"
12,"Family"
13,"Documentary"
13,"Sport"
14,"Comedy"
14,"Crime"
14,"Drama"
15,"Crime"
15,"Drama"
16,"Comedy"
16,"Horror"
16,"Thriller"
17,"Action"
17,"Drama"
17,"History"
18,"Biography"
18,"Drama"
18,"History"
19,"Comedy"
19,"Drama"
20,"Biography"
20,"Drama"
21,"Crime"
21,"Drama"
21,"Thriller"
22,"Comedy"
22,"Fantasy"
22,"Romance"
23,"Horror"
23,"Thriller"
24,"Comedy"
25,"Fantasy"
25,"Horror"
25,"Mystery"
26,"Adventure"
26,"Biography"
26,"Drama"
27,"Action"
27,"Crime"
27,"Drama"
28,"Action"
28,"Drama"
28,"Thriller"
29,"Comedy"
29,"Drama"
29,"Fantasy"
30,"Drama"
30,"History"
31,"Drama"
31,"History"
32,"Action"
32,"Comedy"
32,"War"
33,"Comedy"
33,"Crime"
33,"Thriller"
34,"Comedy"
35,"Action"
35,"Comedy"
35,"Thriller"
36,"Drama"
36,"Mystery"
36,"Romance"
37,"Adventure"
37,"Drama"
37,"Family"
38,"Comedy"
38,"Music"
38,"Romance"
39,"Comedy"
39,"Horror"
40,"Adventure"
40,"Sci-Fi"
41,"Comedy"
41,"Sci-Fi"
42,"Adventure"
42,"Mystery"
42,"Sci-Fi"
43,"Action"
43,"Adventure"
43,"Sci-Fi"
44,"Drama"
44,"Romance"
44,"Sci-Fi"
45,"Crime"
45,"Drama"
45,"Thriller"
46,"Comedy"
47,"Crime"
47,"Drama"
47,"Thriller"
48,"Action"
48,"Comedy"
48,"Crime"
49,"History"
50,"Biography"
50,"Comedy"
50,"Drama"
51,NA
52,"Horror"
52,"Thriller"
53,"Drama"
54,"Comedy"
54,"Romance"
55,"Comedy"
55,"Drama"
56,"Drama"
56,"Horror"
56,"Sci-Fi"
57,"Horror"
57,"Sci-Fi"
58,"Comedy"
58,"Drama"
59,"Action"
59,"Comedy"
59,"Family"
60,"Action"
60,"Comedy"
60,"Family"
61,"Action"
61,"Adventure"
61,"Comedy"
62,"Comedy"
62,"Drama"
63,"Crime"
63,"Drama"
63,"Romance"
64,"Action"
64,"Crime"
64,"Drama"
65,"Action"
65,"Horror"
65,"Thriller"
66,"Action"
66,"Comedy"
66,"Crime"
67,"Action"
67,"Drama"
68,"Action"
68,"Drama"
69,"Action"
69,"Comedy"
69,"Crime"
70,"Crime"
70,"Drama"
70,"Mystery"
71,"Drama"
72,"Action"
72,"Crime"
72,"Drama"
73,"Comedy"
73,"Romance"
74,"Biography"
74,"Drama"
74,"Sport"
75,"Musical"
76,"Action"
76,"Drama"
76,"Fantasy"
77,"Action"
77,"Comedy"
77,"Crime"
78,"Animation"
78,"Drama"
78,"Family"
79,"Action"
79,"Drama"
79,"War"
80,"Comedy"
80,"Drama"
80,"Romance"
81,"Documentary"
82,"Drama"
82,"Music"
83,"Action"
83,"Adventure"
83,"Drama"
84,"Action"
84,"Crime"
84,"Drama"
85,"Comedy"
85,"Drama"
86,"Thriller"
87,"Drama"
87,"Music"
88,"Comedy"
88,"Crime"
88,"Musical"
89,"Drama"
90,"Crime"
90,"Drama"
90,"Mystery"
91,"Crime"
91,"Drama"
91,"Mystery"
92,"Crime"
92,"Drama"
92,"Mystery"
93,"Drama"
93,"Music"
93,"Romance"
94,"Action"
94,"Drama"
94,"History"
