"tconst","primaryTitle","isAdult","rel_date","startYear","genres","id"
"tt0259822",".45","0","2006-11-30","2006","Crime,Drama,Thriller",1
"tt0092494","*batteries not included","0","1987-12-18","1987","Comedy,Family,Fantasy",2
"tt17983188","10","0","1979-10-04","2022","Drama",3
"tt0499603","10 Items or Less","0","2006-09-11","2006","Comedy,Drama",4
"tt1993391","10 Rules for Sleeping Around","0","2014-04-04","2013","Comedy,Romance",5
"tt0147800","10 Things I Hate About You","0","1999-03-30","1999","Comedy,Drama,Romance",6
"tt0085121","10 to Midnight","0","1983-03-11","1983","Crime,Drama,Thriller",7
"tt0443649","10,000 BC","0","2008-02-22","2008","Action,Adventure,Drama",8
"tt0899128","100 Feet","0","2008-07-22","2008","Horror,Mystery,Thriller",9
"tt0214388","100 Girls","0","2000-09-01","2000","Comedy,Romance",10
"tt0115433","101 Dalmatians","0","1996-11-17","1996","Adventure,Comedy,Crime",11
"tt0211181","102 Dalmatians","0","2000-10-07","2000","Adventure,Comedy,Family",12
"tt15783266","10x10","0","2018-04-13","2015","Documentary,Sport",13
"tt0331811","11:14","0","2003-09-05","2003","Comedy,Crime,Drama",14
"tt0050083","12 Angry Men","0","1957-04-10","1957","Crime,Drama",15
"tt10309552","12 Hour Shift","0","NaN","2020","Comedy,Horror,Thriller",16
"tt1413492","12 Strong","0","2018-01-16","2018","Action,Drama,History",17
"tt2024544","12 Years a Slave","0","2013-10-18","2013","Biography,Drama,History",18
"tt0809407","12:08 East of Bucharest","0","2006-09-29","2006","Comedy,Drama",19
"tt1542344","127 Hours","0","2010-11-05","2010","Biography,Drama",20
"tt0798817","13","0","2010-03-12","2010","Crime,Drama,Thriller",21
"tt0337563","13 Going on 30","0","2004-04-13","2004","Comedy,Fantasy,Romance",22
"tt2059171","13 Sins","0","2014-04-18","2014","Horror,Thriller",23
"tt0150661","14 and Under","0","1973-08-16","1973","Comedy",24
"tt0450385","1408","0","2007-06-22","2007","Fantasy,Horror,Mystery",25
"tt0103594","1492: Conquest of Paradise","0","1992-10-09","1992","Adventure,Biography,Drama",26
"tt0179626","15 Minutes","0","2001-03-01","2001","Action,Crime,Drama",27
"tt0450232","16 Blocks","0","2006-03-01","2006","Action,Drama,Thriller",28
"tt0974661","17 Again","0","2009-03-11","2009","Comedy,Drama,Fantasy",29
"tt0074084","1900","0","1976-09-01","1976","Drama,History",30
"tt0079643","1922","0","2017-10-20","1978","Drama,History",31
"tt0078723","1941","0","1979-12-13","1979","Action,Comedy,War",32
"tt0115438","2 Days in the Valley","0","1996-09-11","1996","Comedy,Crime,Thriller",33
"tt10102350","2 Fingers Honey","0","2019-05-23","2019","Comedy",34
"tt1272878","2 Guns","0","2013-08-02","2013","Action,Comedy,Thriller",35
"tt1131724","2:22","0","2017-06-29","2017","Drama,Mystery,Romance",36
"tt0046672","20,000 Leagues Under the Sea","0","1954-05-13","1954","Adventure,Drama,Family",37
"tt18691722","200 Pounds Beauty","0","2006-12-14","2023","Comedy,Music,Romance",38
"tt0264323","2001 Maniacs","0","2005-05-12","2005","Comedy,Horror",39
"tt0062622","2001: A Space Odyssey","0","1968-04-09","1968","Adventure,Sci-Fi",40
"tt0157262","2001: A Space Travesty","0","2000-10-31","2000","Comedy,Sci-Fi",41
"tt0086837","2010","0","1984-12-06","1984","Adventure,Mystery,Sci-Fi",42
"tt1190080","2012","0","2009-10-10","2009","Action,Adventure,Sci-Fi",43
"tt0212712","2046","0","2004-05-20","2004","Drama,Romance,Sci-Fi",44
"tt0478087","21","0","2008-03-27","2008","Crime,Drama,Thriller",45
"tt1711425","21 & Over","0","2013-03-01","2013","Comedy",46
"tt0315733","21 Grams","0","2003-09-06","2003","Crime,Drama,Thriller",47
"tt1232829","21 Jump Street","0","2012-03-14","2012","Action,Comedy,Crime",48
"tt1714834","23-F: la película","0","2011-02-23","2011","History",49
"tt0274309","24 Hour Party People","0","2002-02-13","2002","Biography,Comedy,Drama",50
"tt0180388","24 Hours to Live","0","2017-10-26","1986",NA,51
"tt1877543","247°F","0","2011-09-01","2011","Horror,Thriller",52
"tt0307901","25th Hour","0","2002-12-16","2002","Drama",53
"tt0988595","27 Dresses","0","2008-01-10","2008","Comedy,Romance",54
"tt0191754","28 Days","0","2000-04-06","2000","Comedy,Drama",55
"tt0289043","28 Days Later","0","2002-10-31","2002","Drama,Horror,Sci-Fi",56
"tt0463854","28 Weeks Later","0","2007-04-26","2007","Horror,Sci-Fi",57
"tt1187043","3 Idiots","0","2009-12-23","2009","Comedy,Drama",58
"tt0103596","3 Ninjas","0","1992-08-07","1992","Action,Comedy,Family",59
"tt0109015","3 Ninjas Kick Back","0","1994-05-06","1994","Action,Comedy,Family",60
"tt0118539","3 Ninjas: High Noon at Mega Mountain","0","1998-04-10","1998","Action,Adventure,Comedy",61
"tt1365048","3-D Sex and Zen: Extreme Ecstasy","0","2011-04-14","2011","Comedy,Drama",62
"tt0423866","3-Iron","0","2004-10-15","2004","Crime,Drama,Romance",63
"tt0381849","3:10 to Yuma","0","2007-09-06","2007","Action,Crime,Drama",64
"tt0389722","30 Days of Night","0","2007-10-17","2007","Action,Horror,Thriller",65
"tt1622547","30 Minutes or Less","0","2011-08-11","2011","Action,Comedy,Crime",66
"tt0416449","300","0","2007-03-07","2006","Action,Drama",67
"tt1253863","300: Rise of an Empire","0","2014-03-05","2014","Action,Drama",68
"tt0233142","3000 Miles to Graceland","0","2001-02-23","2001","Action,Comedy,Crime",69
"tt1680045","360","0","2012-07-25","2011","Crime,Drama,Mystery",70
"tt0920451","365 Days","0","2020-02-07",NA,"Drama",71
"tt0390808","36th Precinct","0","2004-11-24","2004","Action,Crime,Drama",72
"tt0243736","40 Days and 40 Nights","0","2002-03-01","2002","Comedy,Romance",73
"tt0453562","42","0","2013-04-12","2013","Biography,Drama,Sport",74
"tt13020194","42nd Street","0","1933-03-11","1986","Musical",75
"tt1335975","47 Ronin","0","2013-12-06","2013","Action,Drama,Fantasy",76
"tt0083511","48 Hrs.","0","1982-12-07","1982","Action,Comedy,Crime",77
"tt0983213","5 Centimeters per Second","0","2007-03-03","2007","Animation,Drama,Family",78
"tt1486193","5 Days of War","0","2011-04-14","2011","Action,Drama,War",79
"tt0343660","50 First Dates","0","2004-02-13","2004","Comedy,Drama,Romance",80
"tt1734060","50/50","0","2011-09-30","2010","Documentary",81
"tt0120577","54","0","1998-08-28","1998","Drama,Music",82
"tt0056800","55 Days at Peking","0","1963-05-06","1963","Action,Adventure,Drama",83
"tt1975249","6 Bullets","0","2012-09-11","2012","Action,Crime,Drama",84
"tt1377259","6 Days","0","2017-08-03","2009","Comedy,Drama",85
"tt11011680","8","0","2019-10-18","2017","Thriller",86
"tt0298203","8 Mile","0","2002-11-08","2002","Drama,Music",87
"tt0283832","8 Women","0","2002-01-08","2002","Comedy,Crime,Musical",88
