"nconst","primaryName","knownForTitles"
"nm0000001","Fred Astaire","tt0072308,tt0050419,tt0053137,tt0027125"
"nm0000002","Lauren Bacall","tt0037382,tt0075213,tt0117057,tt0038355"
"nm0000003","Brigitte Bardot","tt0057345,tt0049189,tt0056404,tt0054452"
"nm0000005","Ingmar Bergman","tt0050986,tt0083922,tt0050976,tt0069467"
"nm0000006","Ingrid Bergman","tt0034583,tt0036855,tt0038109,tt0038787"
"nm0000007","Humphrey Bogart","tt0034583,tt0042593,tt0043265,tt0037382"
"nm0000008","Marlon Brando","tt0078788,tt0068646,tt0047296,tt0070849"
"nm0000009","Richard Burton","tt0061184,tt0087803,tt0059749,tt0057877"
"nm0000010","James Cagney","tt0029870,tt0031867,tt0042041,tt0035575"
"nm0000011","Gary Cooper","tt0044706,tt0034167,tt0035896,tt0027996"
"nm0000012","Bette Davis","tt0042192,tt0056687,tt0031210,tt0035140"
"nm0000014","Olivia de Havilland","tt0031381,tt0041452,tt0029843,tt0040806"
"nm0000015","James Dean","tt0048028,tt0048545,tt0049261,tt0040051"
"nm0000016","Georges Delerue","tt0091763,tt0096320,tt0069946,tt8847712"
"nm0000017","Marlene Dietrich","tt0051201,tt0055031,tt0052311,tt0021156"
"nm0000018","Kirk Douglas","tt0080736,tt0054331,tt0049456,tt0050825"
"nm0000019","Federico Fellini","tt0050783,tt0056801,tt0053779,tt0071129"
"nm0000020","Henry Fonda","tt0050083,tt0082846,tt0032551,tt0051207"
"nm0000022","Clark Gable","tt0025316,tt0031381,tt0026752,tt0023382"
"nm0000024","John Gielgud","tt0082031,tt0071877,tt0045943,tt0117631"
"nm0000025","Jerry Goldsmith","tt0119488,tt0117731,tt0077269,tt0100802"
"nm0000026","Cary Grant","tt0056923,tt0053125,tt0034248,tt0053143"
"nm0000027","Alec Guinness","tt0076759,tt0050212,tt0041546,tt0051739"
"nm0000028","Rita Hayworth","tt0038559,tt0040525,tt0035103,tt0036723"
"nm0000030","Audrey Hepburn","tt0054698,tt0046250,tt0056923,tt0058385"
"nm0000031","Katharine Hepburn","tt0032904,tt0063227,tt0082846,tt0043265"
"nm0000032","Charlton Heston","tt0052618,tt0049833,tt0067525,tt0063442"
"nm0000033","Alfred Hitchcock","tt0054215,tt0052357,tt0053125,tt0056869"
"nm0000034","William Holden","tt0046359,tt0047437,tt0043014,tt0074958"
"nm0000035","James Horner","tt0120338,tt0499549,tt0120746,tt0177971"
"nm0000036","Buster Keaton","tt0017925,tt0015163,tt0015324,tt0016332"
"nm0000037","Gene Kelly","tt0045152,tt0043278,tt0053946,tt0041716"
"nm0000039","Deborah Kerr","tt0049408,tt0045793,tt0039192,tt0050105"
"nm0000040","Stanley Kubrick","tt0062622,tt0072684,tt0066921,tt0093058"
"nm0000041","Akira Kurosawa","tt0051808,tt0080979,tt0089881,tt0047478"
"nm0000043","Veronica Lake","tt0034240,tt0038369,tt0035432,tt0034881"
"nm0000044","Burt Lancaster","tt0045793,tt0085859,tt0051036,tt0057091"
"nm0000045","Bruce Lee","tt0068767,tt0068935,tt0070034,tt0067824"
"nm0000046","Vivien Leigh","tt0044081,tt0031381,tt0033238,tt0034272"
"nm0000047","Sophia Loren","tt0054749,tt0058335,tt0076085,tt0060121"
"nm0000048","Peter Lorre","tt0022100,tt0036613,tt0034583,tt0033870"
"nm0000049","Henry Mancini","tt0054698,tt0085101,tt0057413,tt0383216"
"nm0000050","Groucho Marx","tt0026778,tt0023969,tt0028772,tt0023027"
"nm0000051","James Mason","tt0056193,tt0053125,tt0047522,tt0084855"
"nm0000052","Marcello Mastroianni","tt0053779,tt0056801,tt0076085,tt0058335"
"nm0000053","Robert Mitchum","tt0039689,tt0056197,tt0048424,tt0050356"
"nm0000054","Marilyn Monroe","tt0053291,tt0048605,tt0045810,tt0045891"
"nm0000055","Alfred Newman","tt0049408,tt0065377,tt0042192,tt0434409"
"nm0000056","Paul Newman","tt0054997,tt0257044,tt0084855,tt0110684"
"nm0000057","David Niven","tt0074937,tt0048960,tt0057413,tt0052182"
"nm0000058","Maureen O'Hara","tt0045061,tt0039628,tt0055277,tt0033729"
