"id","tconst","nconst","category"
966,"tt0001175","nm0076800","actress"
966,"tt0001175","nm0854414","actor"
966,"tt0001175","nm0693516","director"
966,"tt0001175","nm0135053","actor"
966,"tt0001175","nm0580197","director"
966,"tt0001175","nm1808145","actress"
966,"tt0001175","nm0221142","actor"
966,"tt0001175","nm1267013","actress"
966,"tt0001175","nm0241414","writer"
966,"tt0001175","nm0693516","writer"
966,"tt0001175","nm0561109","cinematographer"
966,"tt0001175","nm0363465","actor"
966,"tt0001175","nm0216066","producer"
966,"tt0001175","nm0693516","actor"
966,"tt0001175","nm0620586","producer"
966,"tt0001175","nm0130633","director"
2254,"tt0001240","nm0381005","actor"
2254,"tt0001240","nm0478475","actress"
2254,"tt0001240","nm1266292","actor"
2254,"tt0001240","nm0627274","actor"
2254,"tt0001240","nm0000636","writer"
2254,"tt0001240","nm1267460","actor"
2254,"tt0001240","nm0742120","actor"
2254,"tt0001240","nm0421945","actress"
2254,"tt0001240","nm1266474","actor"
2254,"tt0001240","nm0088881","director"
2254,"tt0001240","nm0762935","actress"
5753,"tt0004325","nm0806565","actor"
5753,"tt0004325","nm0432216","actor"
5753,"tt0004325","nm0534221","actress"
5753,"tt0004325","nm0537899","actress"
5753,"tt0004325","nm0933424","actor"
5753,"tt0004325","nm0314700","actor"
5753,"tt0004325","nm0916665","actress"
5753,"tt0004325","nm0916665","writer"
5753,"tt0004325","nm0806565","director"
5753,"tt0004325","nm0165469","cinematographer"
5753,"tt0004325","nm0000636","writer"
5753,"tt0004325","nm0916665","director"
4542,"tt0004613","nm0170038","actor"
4542,"tt0004613","nm0205343","writer"
4542,"tt0004613","nm0267914","actor"
4542,"tt0004613","nm0489493","actor"
4542,"tt0004613","nm0352726","director"
4542,"tt0004613","nm0174720","actor"
4542,"tt0004613","nm0858501","writer"
4542,"tt0004613","nm0150221","actor"
4542,"tt0004613","nm0830335","actor"
4542,"tt0004613","nm0695466","actor"
4542,"tt0004613","nm0823225","actor"
4542,"tt0004613","nm0820821","actor"
4542,"tt0004613","nm0527485","actress"
6276,"tt0004832","nm0002118","actor"
6276,"tt0004832","nm0628557","actress"
6276,"tt0004832","nm0551361","director"
6276,"tt0004832","nm0551365","actress"
6276,"tt0004832","nm0232713","writer"
6276,"tt0004832","nm0000859","actor"
6276,"tt0004832","nm0238532","actor"
6276,"tt0004832","nm0537556","actor"
6276,"tt0004832","nm0765421","actor"
6276,"tt0004832","nm0262757","actor"
6276,"tt0004832","nm0309974","cinematographer"
6276,"tt0004832","nm0263075","actress"
306,"tt0004873","nm6706957","actor"
306,"tt0004873","nm0723440","actor"
306,"tt0004873","nm14997122","actress"
306,"tt0004873","nm14997123","writer"
306,"tt0004873","nm6706959","actor"
306,"tt0004873","nm0950148","writer"
306,"tt0004873","nm6706958","actor"
306,"tt0004873","nm0950148","director"
306,"tt0004873","nm0511104","actor"
306,"tt0004873","nm0767931","actress"
306,"tt0004873","nm0531342","producer"
306,"tt0004873","nm0140902","writer"
5023,"tt0004972","nm0550615","actress"
5023,"tt0004972","nm0000428","producer"
5023,"tt0004972","nm0000428","composer"
5023,"tt0004972","nm0910400","actor"
5023,"tt0004972","nm0000428","director"
5023,"tt0004972","nm0005658","cinematographer"
5023,"tt0004972","nm0366008","actor"
5023,"tt0004972","nm0940488","writer"
5023,"tt0004972","nm0797094","actor"
5023,"tt0004972","nm0000428","writer"
5023,"tt0004972","nm0228746","writer"
5023,"tt0004972","nm0519227","actor"
5023,"tt0004972","nm0717468","actor"
5023,"tt0004972","nm0017488","actress"
5023,"tt0004972","nm0106922","composer"
5023,"tt0004972","nm0178270","actress"
5023,"tt0004972","nm0808571","editor"
5023,"tt0004972","nm0000428","editor"
5023,"tt0004972","nm0001273","actress"
5023,"tt0004972","nm0376221","editor"
5023,"tt0004972","nm0507635","actor"
5023,"tt0004972","nm0809817","editor"
1760,"tt0005256","nm0660402","actor"
1760,"tt0005256","nm0875924","actress"
1760,"tt0005256","nm0352454","actress"
1760,"tt0005256","nm0854719","actor"
1760,"tt0005256","nm0119569","actor"
1760,"tt0005256","nm0829654","actor"
1760,"tt0005256","nm0534221","writer"
1760,"tt0005256","nm0041858","writer"
1760,"tt0005256","nm0942424","actress"
1760,"tt0005256","nm0041858","director"
1760,"tt0005256","nm0041858","actor"
1847,"tt0005308","nm0098376","actor"
1847,"tt0005308","nm0937599","actress"
1847,"tt0005308","nm0282853","actor"
1847,"tt0005308","nm0828314","actor"
1847,"tt0005308","nm0398300","actor"
1847,"tt0005308","nm0581115","cinematographer"
1847,"tt0005308","nm0098376","writer"
1847,"tt0005308","nm0412257","writer"
1847,"tt0005308","nm0098376","director"
1847,"tt0005308","nm0864559","actress"
6244,"tt0006247","nm0828485","actress"
6244,"tt0006247","nm0255216","actress"
6244,"tt0006247","nm0245422","actress"
6244,"tt0006247","nm0454545","director"
6244,"tt0006247","nm0908154","actor"
6244,"tt0006247","nm0725845","writer"
6244,"tt0006247","nm0071518","actor"
6244,"tt0006247","nm0259860","actress"
6244,"tt0006247","nm0942412","actor"
6244,"tt0006247","nm0569466","actor"
6244,"tt0006247","nm0112898","actor"
6244,"tt0006247","nm0626370","actress"
1438,"tt0006581","nm0188532","actor"
1438,"tt0006581","nm0862242","writer"
1438,"tt0006581","nm0344059","actor"
1438,"tt0006581","nm0914651","actress"
1438,"tt0006581","nm0002061","writer"
1438,"tt0006581","nm0728230","actress"
1438,"tt0006581","nm0002061","director"
1438,"tt0006581","nm0627599","actor"
5844,"tt0007149","nm0150188","writer"
5844,"tt0007149","nm0478890","actor"
5844,"tt0007149","nm0902698","actor"
5844,"tt0007149","nm0829795","actor"
5844,"tt0007149","nm0516974","actor"
5844,"tt0007149","nm0021471","actress"
5844,"tt0007149","nm0402003","actress"
5844,"tt0007149","nm0818149","actor"
5844,"tt0007149","nm0397211","writer"
5844,"tt0007149","nm0832968","actor"
5844,"tt0007149","nm0725529","director"
3873,"tt0007190","nm0334918","director"
3873,"tt0007190","nm0353956","actor"
3873,"tt0007190","nm0678232","actress"
3873,"tt0007190","nm0393818","actor"
3873,"tt0007190","nm0388795","writer"
3873,"tt0007190","nm0234692","actress"
3873,"tt0007190","nm0107574","actress"
3873,"tt0007190","nm0501163","actor"
3873,"tt0007190","nm0809743","cinematographer"
6624,"tt0007514","nm0642148","actor"
6624,"tt0007514","nm0734152","actor"
6624,"tt0007514","nm0002061","director"
6624,"tt0007514","nm0613115","actor"
6624,"tt0007514","nm0030694","writer"
6624,"tt0007514","nm0627599","actor"
509,"tt0007654","nm0585502","writer"
509,"tt0007654","nm0116569","actress"
509,"tt0007654","nm0362742","actor"
509,"tt0007654","nm0644728","actor"
509,"tt0007654","nm0502752","director"
509,"tt0007654","nm0052151","actress"
509,"tt0007654","nm0125164","actor"
509,"tt0007654","nm0512153","actress"
509,"tt0007654","nm0615141","actress"
509,"tt0007654","nm0712033","actor"
509,"tt0007654","nm0836363","actor"
509,"tt0007654","nm0137416","actor"
509,"tt0007654","nm0003546","cinematographer"
1553,"tt0007873","nm0256221","producer"
1553,"tt0007873","nm0001196","producer"
1553,"tt0007873","nm0562945","actress"
1553,"tt0007873","nm0790357","editor"
1553,"tt0007873","nm0329573","actor"
1553,"tt0007873","nm0822059","actor"
1553,"tt0007873","nm0002616","writer"
1553,"tt0007873","nm0256221","writer"
1553,"tt0007873","nm0001196","writer"
1553,"tt0007873","nm0021020","actress"
1553,"tt0007873","nm0001196","actor"
1553,"tt0007873","nm0256221","director"
1553,"tt0007873","nm0672907","actress"
1553,"tt0007873","nm0445318","actor"
1553,"tt0007873","nm0570434","actor"
1553,"tt0007873","nm0314699","actor"
1553,"tt0007873","nm0167032","actor"
1553,"tt0007873","nm0281808","cinematographer"
1721,"tt0007895","nm0485349","cinematographer"
1721,"tt0007895","nm0362815","actor"
1721,"tt0007895","nm0499548","actor"
1721,"tt0007895","nm0455515","writer"
1721,"tt0007895","nm0905629","actor"
1721,"tt0007895","nm0828485","actress"
1721,"tt0007895","nm0725893","director"
1721,"tt0007895","nm0556953","actress"
1721,"tt0007895","nm0613778","actress"
1721,"tt0007895","nm0128954","actor"
142,"tt0008196","nm0769584","actress"
142,"tt0008196","nm0003546","cinematographer"
142,"tt0008196","nm0795053","actress"
142,"tt0008196","nm0547966","writer"
142,"tt0008196","nm0624714","director"
142,"tt0008196","nm0493073","actor"
142,"tt0008196","nm0122364","writer"
142,"tt0008196","nm0167032","actor"
142,"tt0008196","nm0833115","cinematographer"
142,"tt0008196","nm0731623","actor"
142,"tt0008196","nm0341554","actress"
142,"tt0008196","nm0118538","production_designer"
142,"tt0008196","nm0686032","actress"
142,"tt0008196","nm0681933","producer"
142,"tt0008196","nm0449908","actor"
142,"tt0008196","nm0086632","actress"
142,"tt0008196","nm0681933","actress"
6401,"tt0008686","nm0038028","actress"
6401,"tt0008686","nm0055251","actor"
6401,"tt0008686","nm0944017","actor"
6401,"tt0008686","nm0180950","actor"
6401,"tt0008686","nm0123644","actor"
6401,"tt0008686","nm0347532","actor"
6401,"tt0008686","nm0172293","director"
6401,"tt0008686","nm0709047","actor"
6401,"tt0008686","nm0212422","actress"
6401,"tt0008686","nm0276145","writer"
6401,"tt0008686","nm0822627","writer"
4247,"tt0008825","nm0478151","actor"
4247,"tt0008825","nm0296193","writer"
4247,"tt0008825","nm0783834","actor"
4247,"tt0008825","nm0458837","actor"
4247,"tt0008825","nm9892419","actor"
4247,"tt0008825","nm0263912","writer"
4247,"tt0008825","nm0407778","director"
4247,"tt0008825","nm0407778","cinematographer"
4247,"tt0008825","nm0719714","actor"
4247,"tt0008825","nm0042703","actor"
4247,"tt0008825","nm0458837","director"
4247,"tt0008825","nm0938744","actress"
4247,"tt0008825","nm1802888","writer"
4247,"tt0008825","nm1801327","actress"
2763,"tt0009243","nm0773944","cinematographer"
2763,"tt0009243","nm0784461","writer"
2763,"tt0009243","nm0238532","actor"
2763,"tt0009243","nm0517340","actress"
2763,"tt0009243","nm0883898","actress"
2763,"tt0009243","nm0652479","actress"
2763,"tt0009243","nm0447855","actor"
2763,"tt0009243","nm0101071","actor"
2763,"tt0009243","nm0883920","director"
2763,"tt0009243","nm0165691","actress"
2763,"tt0009243","nm0562866","actor"
3044,"tt0009309","nm0619261","actor"
3044,"tt0009309","nm0005731","cinematographer"
3044,"tt0009309","nm0561651","writer"
3044,"tt0009309","nm0401434","actor"
3044,"tt0009309","nm0461295","director"
3044,"tt0009309","nm0358737","actor"
3044,"tt0009309","nm0017301","writer"
3044,"tt0009309","nm0447094","actor"
3044,"tt0009309","nm0282366","actress"
3044,"tt0009309","nm0355829","actress"
3044,"tt0009309","nm0076202","actress"
3044,"tt0009309","nm0504476","actress"
3044,"tt0009309","nm0483611","actress"
3044,"tt0009309","nm0403465","actress"
3044,"tt0009309","nm0103755","producer"
3044,"tt0009309","nm0760547","producer"
3580,"tt0009429","nm0566300","actress"
3580,"tt0009429","nm0657874","actor"
3580,"tt0009429","nm0205653","director"
3580,"tt0009429","nm0888539","writer"
3580,"tt0009429","nm0018393","actor"
3580,"tt0009429","nm0494673","writer"
3580,"tt0009429","nm0632160","actress"
3580,"tt0009429","nm0529313","actor"
3580,"tt0009429","nm0529313","writer"
3580,"tt0009429","nm0213049","actor"
3580,"tt0009429","nm0005764","cinematographer"
3580,"tt0009429","nm0035187","actor"
5845,"tt0009460","nm0798130","actor"
5845,"tt0009460","nm0405098","actress"
5845,"tt0009460","nm0058659","writer"
5845,"tt0009460","nm0203527","actor"
5845,"tt0009460","nm0662032","director"
5845,"tt0009460","nm0499850","actress"
5845,"tt0009460","nm0292827","writer"
3726,"tt0009470","nm0129950","actor"
3726,"tt0009470","nm0090029","actress"
3726,"tt0009470","nm0540175","cinematographer"
3726,"tt0009470","nm0256639","writer"
3726,"tt0009470","nm0836021","actor"
3726,"tt0009470","nm0636076","director"
3726,"tt0009470","nm0256639","actor"
3726,"tt0009470","nm0580609","actress"
3726,"tt0009470","nm0607174","actor"
3726,"tt0009470","nm0561126","actress"
3726,"tt0009470","nm0027244","actress"
3726,"tt0009470","nm0027367","writer"
3726,"tt0009470","nm0330352","actress"
3726,"tt0009470","nm0232063","actor"
5735,"tt0011439","nm0001935","actor"
5735,"tt0011439","nm0191547","writer"
5735,"tt0011439","nm0571770","actor"
5735,"tt0011439","nm0568915","cinematographer"
5735,"tt0011439","nm0209323","actress"
5735,"tt0011439","nm0537556","actor"
5735,"tt0011439","nm0861665","cinematographer"
5735,"tt0011439","nm0568282","actress"
5735,"tt0011439","nm0001196","actor"
5735,"tt0011439","nm0629243","director"
5735,"tt0011439","nm0238872","actor"
5735,"tt0011439","nm0673814","actor"
5735,"tt0011439","nm0208671","actor"
5735,"tt0011439","nm0675356","composer"
5735,"tt0011439","nm0926191","actor"
6863,"tt0011886","nm0872453","actress"
6863,"tt0011886","nm0822627","writer"
6863,"tt0011886","nm0212422","actress"
6863,"tt0011886","nm0713231","actor"
6863,"tt0011886","nm0911914","actor"
6863,"tt0011886","nm0854776","actress"
6863,"tt0011886","nm0107979","actress"
6863,"tt0011886","nm0046791","actress"
6863,"tt0011886","nm0111577","writer"
6863,"tt0011886","nm0104197","director"
6863,"tt0011886","nm0026957","actor"
6863,"tt0011886","nm0948673","actor"
6863,"tt0011886","nm0743099","actor"
5144,"tt0012064","nm0864559","actress"
5144,"tt0012064","nm0694302","actor"
5144,"tt0012064","nm0156517","actor"
5144,"tt0012064","nm0003895","actor"
5144,"tt0012064","nm0824332","actress"
5144,"tt0012064","nm0916379","cinematographer"
5144,"tt0012064","nm0040090","actress"
5144,"tt0012064","nm0621733","writer"
5144,"tt0012064","nm0832011","actor"
5144,"tt0012064","nm0779530","actress"
5144,"tt0012064","nm0046947","writer"
5144,"tt0012064","nm0006276","director"
5144,"tt0012064","nm0355578","actress"
5144,"tt0012064","nm0369058","actor"
2366,"tt0012277","nm0352383","actor"
2366,"tt0012277","nm0166777","writer"
2366,"tt0012277","nm0207590","actor"
2366,"tt0012277","nm0941782","actor"
2366,"tt0012277","nm0463335","director"
2366,"tt0012277","nm0241867","actor"
2366,"tt0012277","nm0207592","actor"
2366,"tt0012277","nm0910518","actress"
2366,"tt0012277","nm0163369","writer"
2366,"tt0012277","nm0900856","actor"
2366,"tt0012277","nm0254815","cinematographer"
2366,"tt0012277","nm0549045","actor"
2366,"tt0012277","nm0188248","actor"
2366,"tt0012277","nm0939706","actor"
2705,"tt0012329","nm0872476","actor"
2705,"tt0012329","nm0342563","actor"
2705,"tt0012329","nm0111576","writer"
2705,"tt0012329","nm0050846","producer"
2705,"tt0012329","nm0034668","actress"
2705,"tt0012329","nm0280605","actress"
2705,"tt0012329","nm0448696","actor"
2705,"tt0012329","nm0460920","actor"
2705,"tt0012329","nm0227022","actor"
2705,"tt0012329","nm0050846","director"
2705,"tt0012329","nm0040471","actress"
2705,"tt0012329","nm0050846","writer"
2705,"tt0012329","nm0050849","actress"
2705,"tt0012329","nm0224637","cinematographer"
2705,"tt0012329","nm0139862","actor"
5880,"tt0012364","nm0803705","actor"
5880,"tt0012364","nm0481248","writer"
5880,"tt0012364","nm0096737","actress"
5880,"tt0012364","nm0391474","actress"
5880,"tt0012364","nm0014363","actor"
5880,"tt0012364","nm0803705","director"
5880,"tt0012364","nm0043509","actor"
5880,"tt0012364","nm0526479","actress"
5880,"tt0012364","nm0803705","writer"
5880,"tt0012364","nm0959818","actor"
5880,"tt0012364","nm0841061","actor"
5880,"tt0012364","nm0782943","actress"
5880,"tt0012364","nm0917912","actor"
5880,"tt0012364","nm0005748","cinematographer"
3034,"tt0012396","nm0016422","actor"
3034,"tt0012396","nm0635500","actress"
3034,"tt0012396","nm0369036","writer"
3034,"tt0012396","nm0913084","cinematographer"
3034,"tt0012396","nm0103567","actress"
3034,"tt0012396","nm0590361","writer"
3034,"tt0012396","nm0449908","actor"
3034,"tt0012396","nm0369038","writer"
3034,"tt0012396","nm0573743","writer"
3034,"tt0012396","nm0286666","actress"
3034,"tt0012396","nm0856161","director"
3034,"tt0012396","nm0725909","actor"
3034,"tt0012396","nm0269493","actor"
5737,"tt0012450","nm0102783","director"
5737,"tt0012450","nm0613244","actor"
5737,"tt0012450","nm0492208","writer"
5737,"tt0012450","nm0538984","actor"
5737,"tt0012450","nm0601077","actor"
5737,"tt0012450","nm0933563","actress"
5737,"tt0012450","nm0636763","actress"
5737,"tt0012450","nm0005775","cinematographer"
5737,"tt0012450","nm0392442","actor"
5737,"tt0012450","nm0394968","writer"
5737,"tt0012450","nm0166692","actor"
5737,"tt0012450","nm0519559","actor"
3352,"tt0012469","nm0405340","actor"
3352,"tt0012469","nm0822627","writer"
3352,"tt0012469","nm0236963","actress"
3352,"tt0012469","nm0512236","actor"
3352,"tt0012469","nm0929477","actor"
3352,"tt0012469","nm0014680","actor"
3352,"tt0012469","nm0079655","actress"
3352,"tt0012469","nm0120272","writer"
3352,"tt0012469","nm0333313","actress"
3352,"tt0012469","nm0628084","actress"
3352,"tt0012469","nm0574431","director"
3352,"tt0012469","nm0668141","actor"
599,"tt0012920","nm0692157","actress"
599,"tt0012920","nm0919574","actor"
599,"tt0012920","nm0633695","cinematographer"
599,"tt0012920","nm0753415","actor"
599,"tt0012920","nm0756814","writer"
599,"tt0012920","nm0944699","producer"
599,"tt0012920","nm0567532","actor"
599,"tt0012920","nm0511966","actor"
599,"tt0012920","nm0334918","director"
599,"tt0012920","nm0398300","actor"
599,"tt0012920","nm0075318","writer"
599,"tt0012920","nm0635589","actress"
599,"tt0012920","nm0075318","actor"
1562,"tt0013086","nm0919684","actress"
1562,"tt0013086","nm0253301","composer"
1562,"tt0013086","nm0403917","actor"
1562,"tt0013086","nm0956802","composer"
1562,"tt0013086","nm0001178","editor"
1562,"tt0013086","nm0459030","actor"
1562,"tt0013086","nm0324553","actor"
1562,"tt0013086","nm0002154","actor"
1562,"tt0013086","nm0725332","actor"
1562,"tt0013086","nm0690143","producer"
1562,"tt0013086","nm5215306","composer"
1562,"tt0013086","nm0000485","director"
1562,"tt0013086","nm0389155","cinematographer"
1562,"tt0013086","nm0250790","actress"
1562,"tt0013086","nm0313308","actor"
1562,"tt0013086","nm0415167","writer"
1562,"tt0013086","nm0902376","writer"
1562,"tt0013086","nm0287008","actor"
1562,"tt0013086","nm0772300","actor"
1562,"tt0013086","nm0004592","composer"
1562,"tt0013086","nm0000485","writer"
6146,"tt0015400","nm0425903","actor"
6146,"tt0015400","nm0238872","actor"
6146,"tt0015400","nm0249186","cinematographer"
6146,"tt0015400","nm0067634","actor"
6146,"tt0015400","nm0250366","actor"
6146,"tt0015400","nm0001196","actor"
6146,"tt0015400","nm0001196","writer"
6146,"tt0015400","nm0634366","editor"
6146,"tt0015400","nm0048905","actor"
6146,"tt0015400","nm0001196","producer"
6146,"tt0015400","nm0436787","actor"
6146,"tt0015400","nm0909825","director"
6146,"tt0015400","nm0940689","writer"
6146,"tt0015400","nm0403582","actor"
6146,"tt0015400","nm0938923","actress"
6146,"tt0015400","nm0426710","actress"
566,"tt0015593","nm0341486","director"
566,"tt0015593","nm0387551","writer"
566,"tt0015593","nm0853604","actor"
566,"tt0015593","nm0448195","actress"
566,"tt0015593","nm0037849","cinematographer"
566,"tt0015593","nm0115115","writer"
566,"tt0015593","nm0177886","actor"
566,"tt0015593","nm0829615","actress"
566,"tt0015593","nm0532956","actor"
566,"tt0015593","nm0005770","cinematographer"
632,"tt0015648","nm10226746","composer"
632,"tt0015648","nm0012810","writer"
632,"tt0015648","nm0017893","actor"
632,"tt0015648","nm0327150","actor"
