"id","tconst","averageRating","numVotes"
966,"tt0001175",5.2,45
2254,"tt0001240",3.8,22
5753,"tt0004325",5.8,37
6276,"tt0004832",5.6,51
306,"tt0004873",6.1,744
5023,"tt0004972",6.1,26432
6624,"tt0007514",6.5,20
1553,"tt0007873",6.2,87
142,"tt0008196",6.1,727
4247,"tt0008825",5.9,32
3044,"tt0009309",6.5,58
3726,"tt0009470",6.1,20
514,"tt0009891",8.4,14
910,"tt0009968",7.2,11097
2275,"tt0010209",7,20
5086,"tt0010323",8,70416
478,"tt0010622",6.6,17
1827,"tt0011174",7,31
5488,"tt0011309",4.2,49
5735,"tt0011439",7.1,2804
6863,"tt0011886",7.4,30
2705,"tt0012329",6.8,20
5880,"tt0012364",8,14183
599,"tt0012920",6.5,26
1562,"tt0013086",7.8,9217
1958,"tt0013145",5.3,18
2301,"tt0013257",7.6,16862
3496,"tt0013427",7.6,13520
4160,"tt0013555",7,70
4483,"tt0013607",6,330
6470,"tt0013713",5,13
245,"tt0013817",6.3,129
4252,"tt0014429",8.1,23051
6138,"tt0014532",6.8,2680
5617,"tt0015051",6.1,97
5797,"tt0015168",6.9,62
6035,"tt0015310",7.1,645
6146,"tt0015400",7.7,7016
632,"tt0015648",7.9,61645
5266,"tt0015772",6.6,2284
5386,"tt0015864",8.1,119165
5882,"tt0016220",7.5,20189
4355,"tt0016332",7.8,11798
4155,"tt0017326",6.7,30
4595,"tt0017423",7.3,1535
6644,"tt0017518",6.8,24
1557,"tt0017825",6,3088
5364,"tt0017925",8.1,98614
2265,"tt0017961",7.3,1202
5986,"tt0018328",6.1,3961
6493,"tt0018512",7,15
6816,"tt0018578",7.5,14638
1420,"tt0018821",4,15
5866,"tt0019254",8.1,61062
5885,"tt0019273",8.2,10
4486,"tt0019398",5.7,153
920,"tt0019732",5.9,22
2039,"tt0019908",6.5,26
5537,"tt0020025",7.1,292
3534,"tt0020216",6.3,17
6359,"tt0020499",6.5,897
6273,"tt0020596",6.7,59
418,"tt0020640",7.4,15329
2394,"tt0020985",6.3,688
2795,"tt0021017",5.3,89
3678,"tt0021219",6.5,113
6737,"tt0021543",6.7,58
5350,"tt0021890",6.7,3491
2867,"tt0022029",5.5,217
5710,"tt0022111",6.8,3360
5937,"tt0022286",7.6,23168
4485,"tt0022400",7,56
1982,"tt0022913",7.8,50825
2501,"tt0023042",8.2,14509
5830,"tt0023293",7,13191
4843,"tt0023551",6.9,8251
6602,"tt0023649",7.4,20623
6780,"tt0023694",6.2,11704
886,"tt0023841",7.4,85
1614,"tt0023969",7.7,62926
6920,"tt0024803",7.2,9411
4929,"tt0024819",6.2,527
2904,"tt0024844",7.7,17569
2155,"tt0025189",6.7,268
2555,"tt0025301",7.5,5673
2671,"tt0025316",8.1,112801
5722,"tt0025452",6.7,21291
3184,"tt0025465",3.7,2708
5856,"tt0025617",6.5,1729
2041,"tt0025863",6.1,127
6149,"tt0025878",7.9,32684
6464,"tt0025913",7.1,18394
3439,"tt0026752",7.6,24995
156,"tt0026778",7.8,34872
186,"tt0026991",5.4,241
757,"tt0027366",5.2,99
1909,"tt0027623",7,2669
5812,"tt0027703",7,28
2377,"tt0027742",5.6,152
5620,"tt0027869",6.7,1641
3344,"tt0027977",8.5,260705
3402,"tt0027996",7.8,23317
3464,"tt0028010",7.9,26570
3588,"tt0028037",7.2,28
4245,"tt0028212",7,18854
4606,"tt0028291",5.7,643
4804,"tt0028333",7.5,14648
6316,"tt0028358",6.6,9135
6173,"tt0028404",5.7,49
3946,"tt0028528",6,35
4934,"tt0028567",6.7,247
4967,"tt0028597",7.7,21470
571,"tt0028601",5.6,148
714,"tt0028627",5.8,38
117,"tt0028772",7.5,14637
3311,"tt0029250",6.3,35
3725,"tt0029365",5.5,307
6389,"tt0029736",7.4,9
4923,"tt0029843",7.9,54689
6907,"tt0029860",5.6,28
414,"tt0029870",7.9,23314
1785,"tt0030114",6.5,13
2073,"tt0030169",6.2,172
2153,"tt0030190",5.9,430
5597,"tt0030341",7.7,57441
3200,"tt0030418",7.3,3291
3913,"tt0030643",7.7,10008
6886,"tt0030993",7.8,28026
1442,"tt0031225",7.6,12606
2078,"tt0031359",7.3,5318
2162,"tt0031381",8.2,335592
5502,"tt0031455",7.8,12334
2702,"tt0031505",6.3,11243
5715,"tt0031619",7,1919
3412,"tt0031679",8.1,121827
3573,"tt0031725",7.8,23052
5352,"tt0031757",6.5,313
3675,"tt0031762",7.6,15745
4144,"tt0031863",6.1,198
5995,"tt0031867",7.9,15664
1819,"tt0032455",7.7,104445
5405,"tt0032551",8.1,100409
5409,"tt0032553",8.4,238329
2384,"tt0032599",7.8,63474
141,"tt0032714",6.4,44
5849,"tt0032884",5.6,51
6403,"tt0033172",5.1,20
1122,"tt0033467",8.3,467582
1561,"tt0033553",6.8,9905
1624,"tt0033563",7.2,142696
2373,"tt0033717",7.5,19361
2466,"tt0033729",7.7,26694
5595,"tt0033804",7.7,23479
5659,"tt0033836",7.9,13174
3397,"tt0033922",6.3,11365
3968,"tt0034073",7.5,34
4348,"tt0034167",7.7,19884
4749,"tt0034240",7.9,28639
6544,"tt0034337",7.2,625
6272,"tt0034398",7.2,30888
5198,"tt0034636",6,446
1653,"tt0034694",7.2,3045
2395,"tt0034862",7.3,17666
5704,"tt0035015",7.6,26892
3415,"tt0035093",7.6,19561
5857,"tt0035169",7.5,12927
2814,"tt0035423",6.4,89317
