"id","writers"
966,"nm0241414"
966,"nm0693516"
2254,"nm0000636"
5753,"nm0000636"
5753,"nm0916665"
4542,"nm0205343"
4542,"nm0858501"
6276,"nm0232713"
306,"nm0140902"
306,"nm0950148"
306,"nm14997123"
5023,"nm0228746"
5023,"nm0000428"
5023,"nm0940488"
1760,"nm0041858"
1760,"nm0534221"
1847,"nm0098376"
1847,"nm0412257"
6244,"nm0725845"
1438,"nm0002061"
1438,"nm0862242"
5844,"nm0150188"
5844,"nm0397211"
3873,"nm0388795"
6624,"nm0030694"
509,"nm0585502"
1553,"nm0256221"
1553,"nm0001196"
1553,"nm0002616"
1721,"nm0455515"
142,"nm0122364"
142,"nm0547966"
6401,"nm0276145"
6401,"nm0822627"
4247,"nm0263912"
4247,"nm0296193"
4247,"nm1802888"
2763,"nm0784461"
3044,"nm0017301"
3044,"nm0561651"
3580,"nm0888539"
3580,"nm0529313"
3580,"nm0494673"
5845,"nm0058659"
5845,"nm0292827"
3726,"nm0027367"
3726,"nm0256639"
514,"nm0866243"
514,"nm0401967"
514,"nm0249772"
910,"nm0121885"
910,"nm0000428"
2275,"nm0528351"
2275,"nm0809633"
2404,"nm0916665"
5086,"nm0562346"
5086,"nm0417917"
5759,"nm0163937"
5759,"nm0309567"
5759,"nm0395023"
478,"nm0652650"
478,"nm0894523"
6538,"nm0175915"
6538,"nm0775471"
6224,"nm0858501"
1827,"nm0019855"
1827,"nm1141292"
1827,"nm0781292"
1827,"nm0816232"
5488,"nm0236279"
5488,"nm0254674"
5488,"nm1123587"
5735,"nm0191547"
5735,"nm0001196"
5735,"nm1491939"
6863,"nm0111577"
6863,"nm0822627"
5144,"nm0046947"
5144,"nm0621733"
2366,"nm0163369"
2366,"nm0166777"
2705,"nm0050846"
2705,"nm0111576"
5880,"nm0481248"
5880,"nm0803705"
3034,"nm0369036"
3034,"nm0369038"
3034,"nm0573743"
3034,"nm0590361"
5737,"nm0394968"
5737,"nm0492208"
3352,"nm0120272"
3352,"nm0822627"
599,"nm0075318"
599,"nm0756814"
1562,"nm0415167"
1562,"nm0902376"
1562,"nm0000485"
1958,"nm0167424"
1958,"nm0843364"
2301,"nm0159725"
3496,"nm0280878"
3496,"nm0280904"
4160,"nm0708956"
4483,"nm0721840"
6470,"nm0009266"
245,"nm0534221"
4252,"nm0730018"
4252,"nm0853130"
4252,"nm0924065"
4252,"nm0907778"
4252,"nm0369841"
4252,"nm0516001"
6138,"nm0534221"
650,"nm0855139"
650,"nm0822627"
5617,"nm0497169"
5617,"nm0841492"
5797,"nm0860442"
5797,"nm0870571"
5797,"nm0774605"
6035,"nm0754581"
6035,"nm0370271"
6035,"nm0031033"
6146,"nm0940689"
6146,"nm0001196"
6146,"nm0008280"
6146,"nm0640884"
566,"nm0115115"
566,"nm0387551"
632,"nm0012810"
632,"nm0001178"
632,"nm0017893"
632,"nm0038595"
632,"nm0872308"
1220,"nm0192325"
1220,"nm0445502"
5266,"nm0701090"
5266,"nm0547938"
5266,"nm0473134"
5386,"nm0000122"
2300,"nm0332539"
2300,"nm1121405"
5751,"nm0077061"
5751,"nm0201405"
5751,"nm0653865"
3478,"nm0288986"
3478,"nm0822552"
5882,"nm0503693"
5882,"nm0031033"
5882,"nm0165470"
5882,"nm0566338"
5882,"nm0566439"
5882,"nm0715723"
5882,"nm0775419"
5882,"nm0908831"
5882,"nm1541473"
3992,"nm15140063"
4355,"nm0576362"
4355,"nm0115669"
4355,"nm0369841"
4355,"nm0593477"
4155,"nm0102818"
4155,"nm0228693"
4155,"nm0469166"
4442,"nm0132223"
4442,"nm0241758"
4442,"nm0881333"
4595,"nm0242802"
4595,"nm0547938"
4595,"nm0837989"
6644,"nm0264229"
6644,"nm0566338"
1557,"nm0171887"
1557,"nm0637040"
1557,"nm0822627"
5364,"nm0000036"
5364,"nm0115669"
5364,"nm0090213"
5364,"nm0807667"
5364,"nm0685904"
5364,"nm0809548"
2265,"nm0575963"
5708,"nm0021477"
5708,"nm0322843"
4089,"nm0397963"
4089,"nm0018470"
5986,"nm0000033"
5986,"nm0720904"
6493,"nm0167769"
6493,"nm0307819"
6493,"nm0469166"
6493,"nm0494673"
6816,"nm0766850"
6816,"nm0521002"
6816,"nm0510024"
6816,"nm0425456"
6816,"nm0604526"
1420,NA
5866,"nm0217865"
5866,"nm0003433"
5868,"nm0241227"
5868,"nm0425456"
5868,"nm0473134"
5868,"nm0580692"
5868,"nm0627012"
5885,"nm0339326"
5885,"nm0428219"
4486,"nm0165470"
4486,"nm0307819"
4486,"nm0469166"
4486,"nm0614225"
920,"nm0066247"
920,"nm0388554"
1336,"nm0622435"
2039,"nm0288742"
2039,"nm0170401"
2039,"nm0066946"
2039,"nm0823523"
5537,"nm0506349"
5537,"nm0641018"
5537,"nm0889172"
3534,"nm0175028"
3534,"nm0191885"
3534,"nm0449527"
4700,"nm0903079"
4700,"nm0522871"
4700,"nm0823523"
6359,"nm0299154"
6359,"nm0299153"
6359,"nm0542534"
6359,"nm0903049"
6359,"nm0000581"
6273,"nm0026639"
6273,"nm0425456"
418,"nm0442151"
418,"nm0753452"
418,"nm0436095"
418,"nm0748438"
2394,"nm0058129"
2394,"nm0413590"
2795,"nm0119378"
3678,"nm0660923"
3678,"nm0494964"
3678,"nm0226501"
3678,"nm0860374"
6737,"nm0011343"
6737,"nm0167424"
6737,"nm0949130"
5350,"nm0372942"
5350,"nm0531269"
5350,"nm0179993"
5350,"nm0496468"
2867,"nm0089342"
2867,"nm0430756"
2867,"nm0673585"
5710,"nm0358591"
5710,"nm0298494"
5710,"nm0391763"
5710,"nm0399203"
3299,"nm0388554"
3299,"nm0424309"
5937,"nm0321891"
5937,"nm0109148"
5937,"nm0857710"
4485,"nm0114602"
4485,"nm0570305"
4485,"nm0629580"
4485,"nm0629862"
4485,"nm0726346"
1430,NA
1982,"nm0730317"
1982,"nm0325135"
1982,"nm0330390"
1982,"nm0090213"
1982,"nm0531269"
1982,"nm0941138"
2501,"nm0122859"
2501,"nm0337914"
2501,"nm0391763"
2501,"nm0316807"
2961,"nm0712653"
5830,"nm0697362"
5830,"nm0506349"
5830,"nm0792670"
4843,"nm0123194"
4843,"nm0401738"
4843,"nm0637040"
6602,"nm0494257"
6602,"nm0432143"
6602,"nm0003433"
6780,"nm0922951"
6780,"nm2690196"
696,"nm0591791"
696,"nm0416861"
886,"nm0934497"
886,"nm0669840"
886,"nm0340540"
886,"nm0928944"
886,"nm0298828"
886,"nm0304321"
886,"nm0430651"
886,"nm0567346"
886,"nm0648688"
886,"nm0810367"
1614,"nm0436095"
1614,"nm0748438"
1614,"nm0790654"
1614,"nm0674759"
1770,"nm0575197"
1770,"nm0707677"
3715,NA
6920,"nm0897118"
4929,"nm0556945"
4929,"nm0373511"
4929,"nm0923585"
4929,"nm0055693"
2904,"nm0347447"
2904,"nm0729960"
2904,"nm0897118"
2155,"nm0889172"
2555,"nm0403595"
2555,"nm0403398"
2555,"nm0002545"
2555,"nm0242850"
2555,"nm0274923"
2555,"nm0318341"
2555,"nm0373511"
2555,"nm0556945"
2555,"nm0650338"
2555,"nm0725017"
2671,"nm0728307"
2671,"nm0011343"
5722,"nm0071657"
5722,"nm0943922"
5722,"nm0339326"
5722,"nm0712653"
5722,"nm0930539"
3184,"nm0821131"
5856,"nm0576046"
5856,"nm0826554"
5856,"nm0280223"
5856,"nm0560857"
