"nconst","id","tconst.x","primaryTitle","isAdult","rel_date","startYear","genres","tconst.y","category","primaryName","knownForTitles"
"nm0000168",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","actor","Samuel L. Jackson","tt0110912,tt3460252,tt0417148,tt4154664"
"nm0000313",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","actor","Jeff Bridges","tt0118715,tt1263670,tt1403865,tt0088172"
"nm0000332",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","actor","Don Cheadle","tt0375679,tt1540133,tt0395169,tt0790770"
"nm0000375",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","actor","Robert Downey Jr.","tt0371746,tt1300854,tt0988045,tt4154796"
"nm0000375",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","actor","Robert Downey Jr.","tt0371746,tt1300854,tt0988045,tt4154796"
"nm0000569",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","actress","Gwyneth Paltrow","tt0138097,tt0120148,tt0116191,tt1300854"
"nm0000569",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","actress","Gwyneth Paltrow","tt0138097,tt0120148,tt0116191,tt1300854"
"nm0000620",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","actor","Mickey Rourke","tt0401792,tt1125849,tt0092563,tt1228705"
"nm0002201",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","composer","John Debney","tt3040964,tt1485796,tt0335345,tt1228705"
"nm0004753",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","actress","Leslie Bibb","tt0371746,tt1197624,tt1129427,tt1228705"
"nm0005024",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","actor","Terrence Howard","tt0375679,tt0410097,tt0371746,tt0430105"
"nm0005377",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","actor","Sam Rockwell","tt1182345,tt5027774,tt0270288,tt1931533"
"nm0032696",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","producer","Avi Arad","tt4633694,tt9362722,tt5108870,tt0371746"
"nm0046223",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","actor","Sayed Badreya","tt0371746,tt0960144,tt1800763,tt0808148"
"nm0163988",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","actor","Clark Gregg","tt0848228,tt2364582,tt0462128,tt1024715"
"nm0163988",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","actor","Clark Gregg","tt0848228,tt2364582,tt0462128,tt1024715"
"nm0269463",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","director","Jon Favreau","tt2883512,tt0117802,tt0371746,tt8111088"
"nm0269463",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","director","Jon Favreau","tt2883512,tt0117802,tt0371746,tt8111088"
"nm0270559",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","producer","Kevin Feige","tt1825683,tt4154796,tt2015381,tt10872600"
"nm0270559",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","producer","Kevin Feige","tt1825683,tt4154796,tt2015381,tt10872600"
"nm0278168",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","casting_director","Sarah Finn","tt0375679,tt4154796,tt6710474,tt5027774"
"nm0278168",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","casting_director","Sarah Finn","tt0375679,tt4154796,tt6710474,tt5027774"
"nm0297872",4879,"tt0096251","Tetsuo: The Iron Man","0","1989-07-01","1989","Horror,Sci-Fi","tt0096251","cinematographer","Kei Fujiwara","tt0096251,tt0117258,tt0498300,tt0070438"
